date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:10:16	15863/15863	---MC-	200	added ('OK')	text/html	etag:%221430514144-0%22	http://badcamp-2014/	./badcamp-2014/index/index.html	(from )
14:10:16	0/0	---M--	301	error ('Moved%20Permanently')	text/html	etag:%221430514616%22	http://badcamp-2014/home	./badcamp-2014/home/index.html	(from http://badcamp-2014/)
14:10:17	0/0	---M--	301	error ('Moved%20Permanently')	text/html	etag:%221430514616%22	http://badcamp-2014/home	./badcamp-2014/home.2/index.delayed	(from http://badcamp-2014/)
14:10:17	0/-1	---M--	301	error ('')			http://badcamp-2014/home	./badcamp-2014/home.3/index.delayed	(from http://badcamp-2014/)
14:10:17	0/-1	---M--	301	error ('')			http://badcamp-2014/home	./badcamp-2014/home.4/index.delayed	(from http://badcamp-2014/)
14:10:17	6176/6176	---M-Z	200	added ('OK')	text/css	etag:%229e6c35-773-514fb5ad7eb40%22	http://badcamp-2014/sites/default/files/css/css_kShW4RPmRstZ3SpIC-ZvVGNFVAi0WEMuCnI0ZkYIaFw.css	./badcamp-2014/sites/default/files/css/css_kShW4RPmRstZ3SpIC-ZvVGNFVAi0WEMuCnI0ZkYIaFw/index.css	(from http://badcamp-2014/)
14:10:17	16304/16304	---M--	200	added ('OK')	image/png	etag:%229e68f7-3fb0-514f24d0ea5c0%22	http://badcamp-2014/sites/default/files/badcamp-logo%20(1).png	./badcamp-2014/sites/default/files/badcamp-logo%20(1)/index.png	(from http://badcamp-2014/)
14:10:17	9262/9262	---M-Z	200	added ('OK')	text/css	etag:%229e6c39-942-514fb5ad7eb40%22	http://badcamp-2014/sites/default/files/css/css_4NGYH06BlBkljRlpDchQtbVIcru21-Uv4lqsfEyVwv4.css	./badcamp-2014/sites/default/files/css/css_4NGYH06BlBkljRlpDchQtbVIcru21-Uv4lqsfEyVwv4/index.css	(from http://badcamp-2014/)
14:10:20	1390/1390	---M-Z	200	added ('OK')	text/css	etag:%229e6c3d-21e-514fb5ad7eb40%22	http://badcamp-2014/sites/default/files/css/css_UijoYCGYdJSB5IGUTAmZFO-scCehvF3oDuGCkmOBQ8M.css	./badcamp-2014/sites/default/files/css/css_UijoYCGYdJSB5IGUTAmZFO-scCehvF3oDuGCkmOBQ8M/index.css	(from http://badcamp-2014/)
14:10:20	157573/157573	---M-Z	200	added ('OK')	text/css	etag:%229e6c41-5bac-514fb5ad7eb40%22	http://badcamp-2014/sites/default/files/css/css_CdI3IkuVPlHsKaPY_Cb-Y2pmuYLgvVFMwl8tYO4cUvE.css	./badcamp-2014/sites/default/files/css/css_CdI3IkuVPlHsKaPY_Cb-Y2pmuYLgvVFMwl8tYO4cUvE/index.css	(from http://badcamp-2014/)
14:10:24	9936/9936	---M--	200	added ('OK')	application/javascript	etag:%2247ccef-26d0-51289549dcac0%22	http://badcamp-2014/sites/all/libraries/modernizr/modernizr.custom.08545.js?nnovfs	./badcamp-2014/sites/all/libraries/modernizr/modernizr.custom.08545/index.js	(from http://badcamp-2014/)
14:10:24	5495/5495	---M-Z	200	added ('OK')	text/javascript	etag:%229e6c52-6f2-514fb5ad7eb40%22	http://badcamp-2014/sites/default/files/js/js_I8yX6RYPZb7AtMcDUA3QKDZqVkvEn35ED11_1i7vVpc.js	./badcamp-2014/sites/default/files/js/js_I8yX6RYPZb7AtMcDUA3QKDZqVkvEn35ED11_1i7vVpc/index.js	(from http://badcamp-2014/)
14:10:26	56922/56922	---MC-	200	added ('OK')	text/html	etag:%221430514165-0%22	http://badcamp-2014/details	./badcamp-2014/details/index.html	(from http://badcamp-2014/)
14:10:26	15260/15260	---MC-	200	added ('OK')	text/html	etag:%221430514167-0%22	http://badcamp-2014/location	./badcamp-2014/location/index.html	(from http://badcamp-2014/)
14:10:28	111392/111392	---M-Z	200	added ('OK')	text/javascript	etag:%229e6c4e-978e-514fb5ad7eb40%22	http://badcamp-2014/sites/default/files/js/js_0gj6QcpfRH2jzTbCQqf7kEkm4MXY0UA_sRhwPc8jC1o.js	./badcamp-2014/sites/default/files/js/js_0gj6QcpfRH2jzTbCQqf7kEkm4MXY0UA_sRhwPc8jC1o/index.js	(from http://badcamp-2014/)
14:10:28	88547/88547	---M-Z	200	added ('OK')	text/javascript	etag:%229e6c56-5f6e-514fb5ad7eb40%22	http://badcamp-2014/sites/default/files/js/js_mvw0r4qO_U4KO2t9BoZFWr_71gzeViSa1TUTxC1uTac.js	./badcamp-2014/sites/default/files/js/js_mvw0r4qO_U4KO2t9BoZFWr_71gzeViSa1TUTxC1uTac/index.js	(from http://badcamp-2014/)
14:10:28	38223/38223	---MC-	200	added ('OK')	text/html	etag:%221430514168-0%22	http://badcamp-2014/community	./badcamp-2014/community/index.html	(from http://badcamp-2014/)
14:10:31	199353/199353	---MC-	200	added ('OK')	text/html	etag:%221430514626%22	http://badcamp-2014/sessions	./badcamp-2014/sessions/index.html	(from http://badcamp-2014/)
14:10:32	15104/15104	---MC-	200	added ('OK')	text/html	etag:%221430514173-0%22	http://badcamp-2014/sponsor/acquia	./badcamp-2014/sponsor/acquia/index.html	(from http://badcamp-2014/)
14:10:32	14474/14474	---MC-	200	added ('OK')	text/html	etag:%221430514174-0%22	http://badcamp-2014/sponsor/pantheon	./badcamp-2014/sponsor/pantheon/index.html	(from http://badcamp-2014/)
14:10:38	16304/16304	---M--	200	added ('OK')	image/png	etag:%229e68ae-3fb0-514f24c9493c0%22	http://badcamp-2014/sites/default/files/u6/badcamp-logo.png	./badcamp-2014/sites/default/files/u6/badcamp-logo/index.png	(from http://badcamp-2014/)
14:10:38	29977/29977	---M--	200	added ('OK')	image/jpeg	etag:%229e6c74-7519-514fb5ad7eb40%22	http://badcamp-2014/sites/default/files/styles/alpha-sponsor/public/sponsor-logos/acquia_RGB%20copy.jpg?itok=Msa7PsVQ	./badcamp-2014/sites/default/files/styles/alpha-sponsor/public/sponsor-logos/acquia_RGB%20copy/index.jpg	(from http://badcamp-2014/)
14:10:38	7090/7090	---M--	200	added ('OK')	image/png	etag:%229e6c81-1bb2-514fb5ae72d80%22	http://badcamp-2014/sites/default/files/styles/alpha-sponsor/public/sponsor-logos/pantheon-logo-2013.png?itok=l5cWUcrl	./badcamp-2014/sites/default/files/styles/alpha-sponsor/public/sponsor-logos/pantheon-logo-2013/index.png	(from http://badcamp-2014/)
14:10:41	59048/59048	---MC-	200	added ('OK')	text/html	etag:%221430514175-0%22	http://badcamp-2014/sponsors	./badcamp-2014/sponsors/index.html	(from http://badcamp-2014/)
14:10:42	15898/15898	---MC-	200	added ('OK')	text/html	etag:%221430514186-0%22	http://badcamp-2014/credits	./badcamp-2014/credits/index.html	(from http://badcamp-2014/)
14:10:42	14672/14672	---MC-	200	added ('OK')	text/html	etag:%221430514641%22	http://badcamp-2014/contact	./badcamp-2014/contact/index.html	(from http://badcamp-2014/)
14:10:44	38901/38901	---MC-	200	added ('OK')	text/html	etag:%221430514187-0%22	http://badcamp-2014/individual-sponsor	./badcamp-2014/individual-sponsor/index.html	(from http://badcamp-2014/)
14:10:44	16847/16847	---MC-	200	added ('OK')	text/html	etag:%221430514187-0%22	http://badcamp-2014/food-and-drink	./badcamp-2014/food-and-drink/index.html	(from http://badcamp-2014/)
14:10:45	47284/47284	---MC-	200	added ('OK')	text/html	etag:%221430514189-0%22	http://badcamp-2014/jobs	./badcamp-2014/jobs/index.html	(from http://badcamp-2014/)
14:10:46	16645/16645	---MC-	200	added ('OK')	text/html	etag:%221430514190-0%22	http://badcamp-2014/get-around	./badcamp-2014/get-around/index.html	(from http://badcamp-2014/)
14:10:46	14881/14881	---MC-	200	added ('OK')	text/html	etag:%221430514191-0%22	http://badcamp-2014/event/pantheon-saturday-evening-party	./badcamp-2014/event/pantheon-saturday-evening-party/index.html	(from http://badcamp-2014/)
14:10:47	16067/16067	---MC-	200	added ('OK')	text/html	etag:%221430514191-0%22	http://badcamp-2014/lodging	./badcamp-2014/lodging/index.html	(from http://badcamp-2014/)
14:10:48	17645/17645	---MC-	200	added ('OK')	text/html	etag:%221430514192-0%22	http://badcamp-2014/code-of-conduct	./badcamp-2014/code-of-conduct/index.html	(from http://badcamp-2014/)
14:10:48	11653/11653	---MC-	200	added ('OK')	text/html	etag:%221430514647%22	http://badcamp-2014/user/password	./badcamp-2014/user/password/index.html	(from http://badcamp-2014/)
14:10:48	3144/3144	---M-Z	200	added ('OK')	text/javascript	etag:%229e6c4a-42b-514fb5ad7eb40%22	http://badcamp-2014/sites/default/files/js/js_kkFzlcy2IfIV0rPOzUg6XQLmRgf-xtz17YPN5hit_oY.js	./badcamp-2014/sites/default/files/js/js_kkFzlcy2IfIV0rPOzUg6XQLmRgf-xtz17YPN5hit_oY/index.js	(from http://badcamp-2014/)
14:10:49	320/320	---M--	200	added ('OK')	image/png	etag:%2247c854-140-51289548e8880%22	http://badcamp-2014/misc/throbber-inactive.png	./badcamp-2014/misc/throbber-inactive/index.png	(from http://badcamp-2014/sites/default/files/css/css_kShW4RPmRstZ3SpIC-ZvVGNFVAi0WEMuCnI0ZkYIaFw.css)
14:10:49	8935/8935	---M-Z	200	added ('OK')	text/javascript	etag:%229e6c46-b85-514fb5ad7eb40%22	http://badcamp-2014/sites/default/files/js/js_h5pUc2x9Uh8Pl1QqK1Xj-8G295EapUWRnbPNEp5xuvA.js	./badcamp-2014/sites/default/files/js/js_h5pUc2x9Uh8Pl1QqK1Xj-8G295EapUWRnbPNEp5xuvA/index.js	(from http://badcamp-2014/)
14:10:49	1233/1233	---M--	200	added ('OK')	image/gif	etag:%2247c853-4d1-51289548e8880%22	http://badcamp-2014/misc/throbber-active.gif	./badcamp-2014/misc/throbber-active/index.gif	(from http://badcamp-2014/sites/default/files/css/css_kShW4RPmRstZ3SpIC-ZvVGNFVAi0WEMuCnI0ZkYIaFw.css)
14:10:49	106/106	---M--	200	added ('OK')	image/png	etag:%2247c826-6a-51289548e8880%22	http://badcamp-2014/misc/grippie.png	./badcamp-2014/misc/grippie/index.png	(from http://badcamp-2014/sites/default/files/css/css_kShW4RPmRstZ3SpIC-ZvVGNFVAi0WEMuCnI0ZkYIaFw.css)
14:10:49	268/268	---M--	200	added ('OK')	image/png	etag:%2247c819-10c-51289548e8880%22	http://badcamp-2014/misc/draggable.png	./badcamp-2014/misc/draggable/index.png	(from http://badcamp-2014/sites/default/files/css/css_kShW4RPmRstZ3SpIC-ZvVGNFVAi0WEMuCnI0ZkYIaFw.css)
14:10:49	130/130	---M--	200	added ('OK')	image/png	etag:%2247c858-82-51289548e8880%22	http://badcamp-2014/misc/tree.png	./badcamp-2014/misc/tree/index.png	(from http://badcamp-2014/sites/default/files/css/css_kShW4RPmRstZ3SpIC-ZvVGNFVAi0WEMuCnI0ZkYIaFw.css)
14:10:49	129/129	---M--	200	added ('OK')	image/png	etag:%2247c857-81-51289548e8880%22	http://badcamp-2014/misc/tree-bottom.png	./badcamp-2014/misc/tree-bottom/index.png	(from http://badcamp-2014/sites/default/files/css/css_kShW4RPmRstZ3SpIC-ZvVGNFVAi0WEMuCnI0ZkYIaFw.css)
